Player,Team,Venue,Category,Market,n,n_venue,mu_all,mu_blend,s2_blend,narrative_mult,mu_adj,s2_adj,p_base,p_final,Odds,Implied,Fair_Odds,EV_pct,Line,Model
A. Hadziahmetovic,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,20,0,0.55,0.55,0.5763,1.0,0.55,0.5763,0.415645,0.415645,1.61,0.621118,2.4059,-33.0811,1,NegBin
A. Hadziahmetovic,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,20,0,0.55,0.55,0.5763,1.0,0.55,0.5763,0.108926,0.108926,3.75,0.266667,9.1805,-59.1528,2,NegBin
J. Lundstram,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,16,0,0.5,0.5,0.8,1.0,0.5,0.8,0.324073,0.324073,1.5,0.666667,3.0857,-51.3891,1,NegBin
J. Lundstram,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,16,0,0.5,0.5,0.8,1.0,0.5,0.8,0.112845,0.112845,3.25,0.307692,8.8617,-63.3253,2,NegBin
Y. Hirakawa,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,7,0,0.4286,0.4286,0.4386,1.0,0.4286,0.4386,0.345346,0.345346,1.25,0.8,2.8956,-56.8318,1,NegBin
Y. Hirakawa,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,7,0,0.4286,0.4286,0.4386,1.0,0.4286,0.4386,0.071177,0.071177,2.1,0.47619,14.0495,-85.0529,2,NegBin
D. Gyabi,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,3,0,0.6667,0.6667,0.6767,1.0,0.6667,0.6767,0.484035,0.484035,1.5,0.666667,2.066,-27.3948,1,NegBin
D. Gyabi,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,3,0,0.6667,0.6667,0.6767,1.0,0.6667,0.6767,0.145142,0.145142,3.25,0.307692,6.8898,-52.829,2,NegBin
L. Coyle,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,28,0,0.2857,0.2857,0.2957,1.0,0.2857,0.2957,0.244842,0.244842,1.9,0.526316,4.0843,-53.4801,1,NegBin
L. Coyle,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,28,0,0.2857,0.2857,0.2957,1.0,0.2857,0.2957,0.036378,0.036378,5.5,0.181818,27.4888,-79.9918,2,NegBin
K. Dowell,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,6,0,0.3333,0.3333,0.3433,1.0,0.3333,0.3433,0.279947,0.279947,1.25,0.8,3.5721,-65.0066,1,NegBin
K. Dowell,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,6,0,0.3333,0.3333,0.3433,1.0,0.3333,0.3433,0.046921,0.046921,2.1,0.47619,21.3125,-90.1466,2,NegBin
P. James Coleman McNair,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_1_OR_MORE_SHOTS,10,0,0.3,0.3,0.31,1.0,0.3,0.31,0.255549,0.255549,1.83,0.546448,3.9131,-53.2345,1,NegBin
P. James Coleman McNair,hull-city,Neutral,total-shots,PLAYER_TO_HAVE_2_OR_MORE_SHOTS,10,0,0.3,0.3,0.31,1.0,0.3,0.31,0.039418,0.039418,5.0,0.2,25.369,-80.2909,2,NegBin
