"Player","Category","Market","Odds","Team","League"
"L. Koumas","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.25","hull-city","championship"
"L. Koumas","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","2.20","hull-city","championship"
"K. Dowell","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.50","hull-city","championship"
"K. Dowell","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","3.40","hull-city","championship"
"J. Lundstram","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","2.00","hull-city","championship"
"J. Lundstram","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","6.50","hull-city","championship"
"R. Giles","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","2.37","hull-city","championship"
"R. Giles","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","8.00","hull-city","championship"
"E. Matazo","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.50","hull-city","championship"
"E. Matazo","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","3.40","hull-city","championship"
"T. Collyer","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.22","hull-city","championship"
"T. Collyer","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.90","hull-city","championship"
"L. Coyle","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","hull-city","championship"
"L. Coyle","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","hull-city","championship"
"M. Crooks","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.10","hull-city","championship"
"M. Crooks","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.44","hull-city","championship"
"J. Lundstram","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.20","hull-city","championship"
"J. Lundstram","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.83","hull-city","championship"
"R. Giles","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.83","hull-city","championship"
"R. Giles","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","5.50","hull-city","championship"
"J. Egan","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.53","hull-city","championship"
"J. Egan","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.50","hull-city","championship"
"C. Hughes","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","hull-city","championship"
"C. Hughes","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","hull-city","championship"
"O. McBurnie","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.14","hull-city","championship"
"O. McBurnie","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.66","hull-city","championship"
"I. Pandur","yellow-cards","TO_BE_BOOKED","4.75","hull-city","championship"
"A. Famewo","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.44","hull-city","championship"
"A. Famewo","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.00","hull-city","championship"
"J. Gelhardt","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.16","hull-city","championship"
"J. Gelhardt","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.72","hull-city","championship"
"S. Ajayi","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","hull-city","championship"
"S. Ajayi","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","hull-city","championship"
"C. McCarthy","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.20","hull-city","championship"
"C. McCarthy","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.83","hull-city","championship"
"R. Slater","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","hull-city","championship"
"R. Slater","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","hull-city","championship"
"P. James Coleman McNair","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.83","hull-city","championship"
"P. James Coleman McNair","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","5.50","hull-city","championship"
"K. Joseph","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.20","hull-city","championship"
"K. Joseph","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.83","hull-city","championship"
"M. Belloumi","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.28","hull-city","championship"
"M. Belloumi","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.25","hull-city","championship"
"K. Dowell","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.22","hull-city","championship"
"K. Dowell","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.00","hull-city","championship"
"L. Millar","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.44","hull-city","championship"
"L. Millar","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.00","hull-city","championship"
"C. Drameh","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","hull-city","championship"
"C. Drameh","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","hull-city","championship"
"A. Hadziahmetovic","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.28","hull-city","championship"
"A. Hadziahmetovic","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.25","hull-city","championship"
"D. Phillips","yellow-cards","TO_BE_BOOKED","6.00","hull-city","championship"
"Y. Hirakawa","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.61","hull-city","championship"
"Y. Hirakawa","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.75","hull-city","championship"
"L. Koumas","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.12","hull-city","championship"
"L. Koumas","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.61","hull-city","championship"
"D. Gyabi","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.16","hull-city","championship"
"D. Gyabi","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.72","hull-city","championship"
"E. Matazo","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.16","hull-city","championship"
"E. Matazo","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.72","hull-city","championship"
"M. Jacob","yellow-cards","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","hull-city","championship"
"M. Jacob","yellow-cards","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","hull-city","championship"
"O. McBurnie","xg","TO_SCORE","4.00","hull-city","championship"
"J. Gelhardt","xg","TO_SCORE","4.00","hull-city","championship"
"K. Joseph","xg","TO_SCORE","3.60","hull-city","championship"
"M. Crooks","xg","TO_SCORE","5.50","hull-city","championship"
"L. Millar","xg","TO_SCORE","5.50","hull-city","championship"
"M. Belloumi","xg","TO_SCORE","4.75","hull-city","championship"
"L. Koumas","xg","TO_SCORE","5.50","hull-city","championship"
"D. Gyabi","xg","TO_SCORE","9.50","hull-city","championship"
"K. Dowell","xg","TO_SCORE","5.50","hull-city","championship"
"R. Slater","xg","TO_SCORE","7.00","hull-city","championship"
"J. Egan","xg","TO_SCORE","15.00","hull-city","championship"
"S. Ajayi","xg","TO_SCORE","15.00","hull-city","championship"
"C. McCarthy","xg","TO_SCORE","19.00","hull-city","championship"
"C. Hughes","xg","TO_SCORE","15.00","hull-city","championship"
"P. James Coleman McNair","xg","TO_SCORE","11.00","hull-city","championship"
"J. Lundstram","xg","TO_SCORE","9.50","hull-city","championship"
"A. Famewo","xg","TO_SCORE","15.00","hull-city","championship"
"Y. Hirakawa","xg","TO_SCORE","5.50","hull-city","championship"
"C. Drameh","xg","TO_SCORE","13.00","hull-city","championship"
"L. Coyle","xg","TO_SCORE","13.00","hull-city","championship"
"R. Giles","xg","TO_SCORE","9.50","hull-city","championship"
"A. Hadziahmetovic","xg","TO_SCORE","8.50","hull-city","championship"
"E. Matazo","xg","TO_SCORE","6.50","hull-city","championship"
"M. Jacob","xg","TO_SCORE","9.50","hull-city","championship"
"T. Collyer","xg","TO_SCORE","9.50","hull-city","championship"
"M. Whittaker","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.01","middlesbrough","championship"
"M. Whittaker","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.11","middlesbrough","championship"
"H. Hackney","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.01","middlesbrough","championship"
"H. Hackney","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.10","middlesbrough","championship"
"R. McGree","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.14","middlesbrough","championship"
"R. McGree","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.61","middlesbrough","championship"
"L. Castledine","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.03","middlesbrough","championship"
"L. Castledine","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.18","middlesbrough","championship"
"A. Morris","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.30","middlesbrough","championship"
"A. Morris","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","2.25","middlesbrough","championship"
"D. Strelec","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.02","middlesbrough","championship"
"D. Strelec","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.16","middlesbrough","championship"
"F. Munroe","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.61","middlesbrough","championship"
"F. Munroe","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","3.75","middlesbrough","championship"
"C. Brittain","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.61","middlesbrough","championship"
"C. Brittain","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","3.75","middlesbrough","championship"
"L. Ayling","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.53","middlesbrough","championship"
"L. Ayling","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","3.40","middlesbrough","championship"
"M. Targett","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.44","middlesbrough","championship"
"M. Targett","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","2.75","middlesbrough","championship"
"A. Browne","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.20","middlesbrough","championship"
"A. Browne","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.83","middlesbrough","championship"
"S. Hansen","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.06","middlesbrough","championship"
"S. Hansen","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.30","middlesbrough","championship"
"A. Gilbert","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.14","middlesbrough","championship"
"A. Gilbert","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.61","middlesbrough","championship"
"J. Sarmiento","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.06","middlesbrough","championship"
"J. Sarmiento","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.30","middlesbrough","championship"
"D. Fry","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.53","middlesbrough","championship"
"D. Fry","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","3.40","middlesbrough","championship"
"A. Bangura","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.61","middlesbrough","championship"
"A. Bangura","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","3.75","middlesbrough","championship"
"A. Malanda","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.83","middlesbrough","championship"
"A. Malanda","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","5.00","middlesbrough","championship"
"K. Sene","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.06","middlesbrough","championship"
"K. Sene","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.30","middlesbrough","championship"
"S. Silvera","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.18","middlesbrough","championship"
"S. Silvera","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","1.80","middlesbrough","championship"
"G. Edmundson","total-shots","PLAYER_TO_HAVE_1_OR_MORE_SHOTS","1.72","middlesbrough","championship"
"G. Edmundson","total-shots","PLAYER_TO_HAVE_2_OR_MORE_SHOTS","4.33","middlesbrough","championship"
"H. Hackney","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","1.33","middlesbrough","championship"
"H. Hackney","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","2.62","middlesbrough","championship"
"M. Whittaker","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","1.25","middlesbrough","championship"
"M. Whittaker","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","2.10","middlesbrough","championship"
"D. Strelec","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","1.33","middlesbrough","championship"
"D. Strelec","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","2.62","middlesbrough","championship"
"L. Castledine","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","1.36","middlesbrough","championship"
"L. Castledine","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","2.75","middlesbrough","championship"
"R. McGree","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","1.83","middlesbrough","championship"
"R. McGree","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","5.50","middlesbrough","championship"
"A. Morris","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.00","middlesbrough","championship"
"A. Morris","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","13.00","middlesbrough","championship"
"M. Targett","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","2.75","middlesbrough","championship"
"M. Targett","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","13.00","middlesbrough","championship"
"F. Munroe","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.40","middlesbrough","championship"
"F. Munroe","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","17.00","middlesbrough","championship"
"C. Brittain","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.40","middlesbrough","championship"
"C. Brittain","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","17.00","middlesbrough","championship"
"A. Browne","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","2.10","middlesbrough","championship"
"A. Browne","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","7.00","middlesbrough","championship"
"A. Bangura","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.40","middlesbrough","championship"
"A. Bangura","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","17.00","middlesbrough","championship"
"S. Hansen","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","1.50","middlesbrough","championship"
"S. Hansen","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","3.50","middlesbrough","championship"
"D. Fry","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.40","middlesbrough","championship"
"D. Fry","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","17.00","middlesbrough","championship"
"A. Gilbert","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","1.83","middlesbrough","championship"
"A. Gilbert","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","5.50","middlesbrough","championship"
"S. Silvera","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","2.00","middlesbrough","championship"
"S. Silvera","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","6.50","middlesbrough","championship"
"L. Ayling","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.40","middlesbrough","championship"
"L. Ayling","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","17.00","middlesbrough","championship"
"J. Sarmiento","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","1.50","middlesbrough","championship"
"J. Sarmiento","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","3.50","middlesbrough","championship"
"A. Malanda","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.75","middlesbrough","championship"
"A. Malanda","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","21.00","middlesbrough","championship"
"G. Edmundson","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.50","middlesbrough","championship"
"G. Edmundson","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","19.00","middlesbrough","championship"
"K. Sene","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","1.50","middlesbrough","championship"
"K. Sene","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","3.50","middlesbrough","championship"
"A. Morris","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.05","middlesbrough","championship"
"A. Morris","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.25","middlesbrough","championship"
"L. Ayling","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.06","middlesbrough","championship"
"L. Ayling","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.36","middlesbrough","championship"
"C. Brittain","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.10","middlesbrough","championship"
"C. Brittain","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.50","middlesbrough","championship"
"H. Hackney","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.05","middlesbrough","championship"
"H. Hackney","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.28","middlesbrough","championship"
"M. Targett","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.11","middlesbrough","championship"
"M. Targett","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.57","middlesbrough","championship"
"M. Whittaker","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.28","middlesbrough","championship"
"M. Whittaker","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","2.20","middlesbrough","championship"
"A. Malanda","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.22","middlesbrough","championship"
"A. Malanda","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.90","middlesbrough","championship"
"R. McGree","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.16","middlesbrough","championship"
"R. McGree","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.80","middlesbrough","championship"
"A. Browne","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.10","middlesbrough","championship"
"A. Browne","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.50","middlesbrough","championship"
"A. Gilbert","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.10","middlesbrough","championship"
"A. Gilbert","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.50","middlesbrough","championship"
"S. Silvera","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.36","middlesbrough","championship"
"S. Silvera","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","2.62","middlesbrough","championship"
"D. Fry","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.36","middlesbrough","championship"
"D. Fry","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","2.62","middlesbrough","championship"
"A. Bangura","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.20","middlesbrough","championship"
"A. Bangura","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.83","middlesbrough","championship"
"J. Sarmiento","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.05","middlesbrough","championship"
"J. Sarmiento","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.25","middlesbrough","championship"
"F. Munroe","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.06","middlesbrough","championship"
"F. Munroe","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.36","middlesbrough","championship"
"G. Edmundson","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.36","middlesbrough","championship"
"G. Edmundson","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","2.62","middlesbrough","championship"
"K. Sene","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.28","middlesbrough","championship"
"K. Sene","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","2.20","middlesbrough","championship"
"D. Strelec","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.40","middlesbrough","championship"
"D. Strelec","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","2.75","middlesbrough","championship"
"L. Castledine","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.22","middlesbrough","championship"
"L. Castledine","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.90","middlesbrough","championship"
"S. Hansen","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.44","middlesbrough","championship"
"S. Hansen","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","3.25","middlesbrough","championship"
"H. Hackney","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.12","middlesbrough","championship"
"H. Hackney","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.61","middlesbrough","championship"
"A. Morris","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.30","middlesbrough","championship"
"A. Morris","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.37","middlesbrough","championship"
"A. Malanda","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.53","middlesbrough","championship"
"A. Malanda","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.50","middlesbrough","championship"
"C. Brittain","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.25","middlesbrough","championship"
"C. Brittain","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.10","middlesbrough","championship"
"M. Whittaker","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.36","middlesbrough","championship"
"M. Whittaker","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","middlesbrough","championship"
"F. Munroe","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","middlesbrough","championship"
"F. Munroe","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.50","middlesbrough","championship"
"A. Browne","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.44","middlesbrough","championship"
"A. Browne","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.00","middlesbrough","championship"
"L. Castledine","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.18","middlesbrough","championship"
"L. Castledine","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.80","middlesbrough","championship"
"M. Targett","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.44","middlesbrough","championship"
"M. Targett","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.00","middlesbrough","championship"
"A. Gilbert","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","middlesbrough","championship"
"A. Gilbert","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.50","middlesbrough","championship"
"R. McGree","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.80","middlesbrough","championship"
"R. McGree","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","5.00","middlesbrough","championship"
"L. Ayling","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.50","middlesbrough","championship"
"L. Ayling","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.40","middlesbrough","championship"
"D. Strelec","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.66","middlesbrough","championship"
"D. Strelec","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","4.00","middlesbrough","championship"
"S. Hansen","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.66","middlesbrough","championship"
"S. Hansen","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","4.00","middlesbrough","championship"
"J. Sarmiento","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.28","middlesbrough","championship"
"J. Sarmiento","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.25","middlesbrough","championship"
"S. Silvera","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.20","middlesbrough","championship"
"S. Silvera","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.90","middlesbrough","championship"
"D. Fry","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.80","middlesbrough","championship"
"D. Fry","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","5.00","middlesbrough","championship"
"K. Sene","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.18","middlesbrough","championship"
"K. Sene","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.80","middlesbrough","championship"
"A. Bangura","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.25","middlesbrough","championship"
"A. Bangura","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.10","middlesbrough","championship"
"S. Brynn","fouls-committed","TO_BE_BOOKED","6.50","middlesbrough","championship"
"G. Edmundson","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.53","middlesbrough","championship"
"G. Edmundson","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.50","middlesbrough","championship"
