"Player","Category","Market","Odds","Team","League"
"K. Joseph","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","1.61","hull-city","championship"
"K. Joseph","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","4.00","hull-city","championship"
"L. Millar","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","2.10","hull-city","championship"
"L. Millar","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","7.00","hull-city","championship"
"M. Crooks","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","2.25","hull-city","championship"
"M. Crooks","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","9.00","hull-city","championship"
"L. Koumas","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","2.10","hull-city","championship"
"L. Koumas","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","7.00","hull-city","championship"
"C. Hughes","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","5.00","hull-city","championship"
"R. Slater","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","2.50","hull-city","championship"
"R. Slater","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","11.00","hull-city","championship"
"A. Famewo","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","5.50","hull-city","championship"
"J. Egan","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","5.50","hull-city","championship"
"D. Gyabi","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.25","hull-city","championship"
"D. Gyabi","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","15.00","hull-city","championship"
"P. James Coleman McNair","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.75","hull-city","championship"
"P. James Coleman McNair","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","21.00","hull-city","championship"
"R. Giles","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.50","hull-city","championship"
"R. Giles","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","19.00","hull-city","championship"
"Y. Hirakawa","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","2.25","hull-city","championship"
"Y. Hirakawa","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","9.00","hull-city","championship"
"S. Ajayi","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","5.50","hull-city","championship"
"K. Dowell","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","2.25","hull-city","championship"
"K. Dowell","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","9.00","hull-city","championship"
"J. Lundstram","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.25","hull-city","championship"
"J. Lundstram","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","15.00","hull-city","championship"
"L. Coyle","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","5.00","hull-city","championship"
"L. Coyle","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","21.00","hull-city","championship"
"E. Matazo","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","2.10","hull-city","championship"
"E. Matazo","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","7.00","hull-city","championship"
"M. Jacob","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.50","hull-city","championship"
"M. Jacob","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","19.00","hull-city","championship"
"A. Hadziahmetovic","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.40","hull-city","championship"
"A. Hadziahmetovic","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","17.00","hull-city","championship"
"C. Drameh","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","6.00","hull-city","championship"
"C. Drameh","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","21.00","hull-city","championship"
"C. McCarthy","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","6.50","hull-city","championship"
"T. Collyer","shots-on-target","PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET","3.50","hull-city","championship"
"T. Collyer","shots-on-target","PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET","19.00","hull-city","championship"
"C. Drameh","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.10","hull-city","championship"
"R. Slater","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.11","hull-city","championship"
"R. Slater","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.53","hull-city","championship"
"M. Crooks","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.06","hull-city","championship"
"M. Crooks","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.36","hull-city","championship"
"A. Famewo","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.08","hull-city","championship"
"A. Famewo","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.44","hull-city","championship"
"L. Coyle","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.06","hull-city","championship"
"L. Coyle","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.36","hull-city","championship"
"J. Gelhardt","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.14","hull-city","championship"
"J. Gelhardt","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.72","hull-city","championship"
"M. Jacob","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.14","hull-city","championship"
"M. Jacob","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.72","hull-city","championship"
"J. Lundstram","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.06","hull-city","championship"
"J. Lundstram","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.36","hull-city","championship"
"Y. Hirakawa","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.11","hull-city","championship"
"Y. Hirakawa","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.53","hull-city","championship"
"L. Millar","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.11","hull-city","championship"
"L. Millar","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.53","hull-city","championship"
"S. Ajayi","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.14","hull-city","championship"
"S. Ajayi","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.72","hull-city","championship"
"C. Hughes","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.08","hull-city","championship"
"C. Hughes","tackles","PLAYER_TO_HAVE_2_OR_MORE_TACKLES","1.44","hull-city","championship"
"M. Belloumi","tackles","PLAYER_TO_HAVE_1_OR_MORE_TACKLES","1.06","hull-city","championship"
