Bookmaker,Market,Context,Player_Team,Label,Column_Header,Odds
"Bet365","CARDS","Both Teams Combined","","4 Cards","Under","2.50"
"Bet365","CARDS","Both Teams Combined","","5 Cards","Over","3.25"
"Bet365","CARDS","Both Teams Combined","","5 Cards","Exactly","5.50"
"Bet365","CARDS","Both Teams Combined","","5 Cards","Under","1.66"
"Bet365","CARDS","Both Teams Combined","","6 Cards","Over","5.00"
"Bet365","CARDS","Both Teams Combined","","6 Cards","Exactly","7.00"
"Bet365","CARDS","Both Teams Combined","","6 Cards","Under","1.33"
"Bet365","CARDS","Both Teams Combined","","7 Cards","Over","9.00"
"Bet365","CARDS","Both Teams Combined","","7 Cards","Exactly","10.00"
"Bet365","CARDS","Both Teams Combined","","7 Cards","Under","1.16"
"Bet365","CARDS","Both Teams Combined","","8 Cards","Over","17.00"
"Bet365","CARDS","Both Teams Combined","","8 Cards","Exactly","15.00"
"Bet365","CARDS","Both Teams Combined","","8 Cards","Under","1.071"
"Bet365","CARDS","Both Teams Combined","","9 Cards","Over","26.00"
"Bet365","CARDS","Both Teams Combined","","9 Cards","Exactly","21.00"
"Bet365","CARDS","Both Teams Combined","","9 Cards","Under","1.025"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","5.5","Over","1.083"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","5.5","Under","7.00"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","6.5","Over","1.20"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","6.5","Under","4.33"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","7.5","Over","1.36"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","7.5","Under","3.00"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","8.5","Over","1.66"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","8.5","Under","2.10"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","9.5","Over","2.10"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","9.5","Under","1.66"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","10.5","Over","2.75"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","10.5","Under","1.40"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","11.5","Over","4.00"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","11.5","Under","1.22"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","12.5","Over","5.50"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","12.5","Under","1.12"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","13.5","Over","8.00"
"Bet365","TOTAL SHOTS ON TARGET","Both Teams Combined","","13.5","Under","1.062"
"Bet365","TOTAL SHOTS","Both Teams Combined","","18.5","Over","1.083"
"Bet365","TOTAL SHOTS","Both Teams Combined","","18.5","Under","7.00"
"Bet365","TOTAL SHOTS","Both Teams Combined","","20.5","Over","1.20"
"Bet365","TOTAL SHOTS","Both Teams Combined","","20.5","Under","4.33"
"Bet365","TOTAL SHOTS","Both Teams Combined","","22.5","Over","1.40"
"Bet365","TOTAL SHOTS","Both Teams Combined","","22.5","Under","2.75"
"Bet365","TOTAL SHOTS","Both Teams Combined","","24.5","Over","1.80"
"Bet365","TOTAL SHOTS","Both Teams Combined","","24.5","Under","1.90"
"Bet365","TOTAL SHOTS","Both Teams Combined","","26.5","Over","2.50"
"Bet365","TOTAL SHOTS","Both Teams Combined","","26.5","Under","1.50"
"Bet365","TOTAL SHOTS","Both Teams Combined","","28.5","Over","3.50"
"Bet365","TOTAL SHOTS","Both Teams Combined","","28.5","Under","1.28"
"Bet365","TOTAL SHOTS","Both Teams Combined","","30.5","Over","5.00"
"Bet365","TOTAL SHOTS","Both Teams Combined","","30.5","Under","1.14"
"Bet365","TOTAL SHOTS","Both Teams Combined","","32.5","Over","8.00"
"Bet365","TOTAL SHOTS","Both Teams Combined","","32.5","Under","1.062"
"Bet365","TOTAL OFFSIDES","Both Teams Combined","","1.5","Over","1.14"
"Bet365","TOTAL OFFSIDES","Both Teams Combined","","1.5","Under","5.00"
"Bet365","TOTAL OFFSIDES","Both Teams Combined","","2.5","Over","1.44"
"Bet365","TOTAL OFFSIDES","Both Teams Combined","","2.5","Under","2.62"
"Bet365","TOTAL OFFSIDES","Both Teams Combined","","3.5","Over","2.10"
"Bet365","TOTAL OFFSIDES","Both Teams Combined","","3.5","Under","1.66"
"Bet365","TOTAL OFFSIDES","Both Teams Combined","","4.5","Over","3.40"
"Bet365","TOTAL OFFSIDES","Both Teams Combined","","4.5","Under","1.30"
"Bet365","TOTAL OFFSIDES","Both Teams Combined","","5.5","Over","5.50"
"Bet365","TOTAL OFFSIDES","Both Teams Combined","","5.5","Under","1.12"
"Bet365","TOTAL OFFSIDES","Both Teams Combined","","6.5","Over","8.50"
"Bet365","TOTAL OFFSIDES","Both Teams Combined","","6.5","Under","1.05"
"Bet365","TOTAL TACKLES","Both Teams Combined","","26.5","Over","1.05"
"Bet365","TOTAL TACKLES","Both Teams Combined","","26.5","Under","8.50"
"Bet365","TOTAL TACKLES","Both Teams Combined","","29.5","Over","1.14"
"Bet365","TOTAL TACKLES","Both Teams Combined","","29.5","Under","5.00"
"Bet365","TOTAL TACKLES","Both Teams Combined","","32.5","Over","1.40"
"Bet365","TOTAL TACKLES","Both Teams Combined","","32.5","Under","2.75"
"Bet365","TOTAL TACKLES","Both Teams Combined","","35.5","Over","1.83"
"Bet365","TOTAL TACKLES","Both Teams Combined","","35.5","Under","1.83"
"Bet365","TOTAL TACKLES","Both Teams Combined","","38.5","Over","2.75"
"Bet365","TOTAL TACKLES","Both Teams Combined","","38.5","Under","1.40"
"Bet365","TOTAL TACKLES","Both Teams Combined","","41.5","Over","4.50"
"Bet365","TOTAL TACKLES","Both Teams Combined","","41.5","Under","1.16"
"Bet365","TOTAL TACKLES","Both Teams Combined","","44.5","Over","7.50"
"Bet365","TOTAL TACKLES","Both Teams Combined","","44.5","Under","1.071"
"Bet365","FREE KICKS","Both Teams Combined","","16.5 Free Kicks","Over","1.03"
"Bet365","FREE KICKS","Both Teams Combined","","16.5 Free Kicks","Under","15.00"
"Bet365","FREE KICKS","Both Teams Combined","","17.5 Free Kicks","Over","1.05"
"Bet365","FREE KICKS","Both Teams Combined","","17.5 Free Kicks","Under","11.00"
"Bet365","FREE KICKS","Both Teams Combined","","18.5 Free Kicks","Over","1.083"
"Bet365","FREE KICKS","Both Teams Combined","","18.5 Free Kicks","Under","8.00"
"Bet365","FREE KICKS","Both Teams Combined","","19.5 Free Kicks","Over","1.14"
"Bet365","FREE KICKS","Both Teams Combined","","19.5 Free Kicks","Under","5.50"
"Bet365","FREE KICKS","Both Teams Combined","","20.5 Free Kicks","Over","1.20"
"Bet365","FREE KICKS","Both Teams Combined","","20.5 Free Kicks","Under","4.33"
"Bet365","FREE KICKS","Both Teams Combined","","21.5 Free Kicks","Over","1.28"
"Bet365","FREE KICKS","Both Teams Combined","","21.5 Free Kicks","Under","3.50"
"Bet365","FREE KICKS","Both Teams Combined","","22.5 Free Kicks","Over","1.40"
"Bet365","FREE KICKS","Both Teams Combined","","22.5 Free Kicks","Under","2.75"
"Bet365","FREE KICKS","Both Teams Combined","","23.5 Free Kicks","Over","1.53"
"Bet365","FREE KICKS","Both Teams Combined","","23.5 Free Kicks","Under","2.37"
"Bet365","FREE KICKS","Both Teams Combined","","24.5 Free Kicks","Over","1.72"
"Bet365","FREE KICKS","Both Teams Combined","","24.5 Free Kicks","Under","2.00"
"Bet365","FREE KICKS","Both Teams Combined","","25.5 Free Kicks","Over","2.00"
"Bet365","FREE KICKS","Both Teams Combined","","25.5 Free Kicks","Under","1.72"
"Bet365","FREE KICKS","Both Teams Combined","","26.5 Free Kicks","Over","2.25"
"Bet365","FREE KICKS","Both Teams Combined","","26.5 Free Kicks","Under","1.57"
"Bet365","FREE KICKS","Both Teams Combined","","27.5 Free Kicks","Over","2.75"
"Bet365","FREE KICKS","Both Teams Combined","","27.5 Free Kicks","Under","1.40"
"Bet365","FREE KICKS","Both Teams Combined","","28.5 Free Kicks","Over","3.40"
"Bet365","FREE KICKS","Both Teams Combined","","28.5 Free Kicks","Under","1.30"
"Bet365","FREE KICKS","Both Teams Combined","","29.5 Free Kicks","Over","4.00"
"Bet365","FREE KICKS","Both Teams Combined","","29.5 Free Kicks","Under","1.22"
"Bet365","FREE KICKS","Both Teams Combined","","30.5 Free Kicks","Over","5.00"
"Bet365","FREE KICKS","Both Teams Combined","","30.5 Free Kicks","Under","1.16"
"Bet365","FREE KICKS","Both Teams Combined","","31.5 Free Kicks","Over","6.50"
"Bet365","FREE KICKS","Both Teams Combined","","31.5 Free Kicks","Under","1.11"
"Bet365","FREE KICKS","Both Teams Combined","","32.5 Free Kicks","Over","8.00"
"Bet365","FREE KICKS","Both Teams Combined","","32.5 Free Kicks","Under","1.083"
"Bet365","FREE KICKS","Both Teams Combined","","33.5 Free Kicks","Over","11.00"
"Bet365","FREE KICKS","Both Teams Combined","","33.5 Free Kicks","Under","1.05"
"Bet365","FREE KICKS","Both Teams Combined","","34.5 Free Kicks","Over","13.00"
"Bet365","FREE KICKS","Both Teams Combined","","34.5 Free Kicks","Under","1.04"
"Bet365","FREE KICKS","Both Teams Combined","","35.5 Free Kicks","Over","17.00"
"Bet365","FREE KICKS","Both Teams Combined","","35.5 Free Kicks","Under","1.025"
"Bet365","THROW INS","Both Teams Combined","","30.5 Throw Ins","Over","1.025"
