Bookmaker,Market,Context,Stat,Label,Side,Line,Odds,Implied,n,mu_emp,s2_emp,mu_prior,s2_prior,mu_post,s2_post,Model,p_final,Fair_Odds,EV_pct,Expr,Source,Params
Bet365,TOTAL GOALS,Both Teams Combined,Goals,0 Goals,Over,0.0,1.071,0.9337068160597572,15,2.466666666666667,4.123809523809524,2.8333333333333335,3.302298850574712,2.594202898550725,3.8380666809452415,CMP,0.925294599869359,1.0807368811416262,-0.9009483539916485,P(Over 0) = P(X ≥ 1) = 1-CDF(0),Match from hull-city home rows only,{'lambda': 2.594202898550725}
Bet365,TOTAL GOALS,Both Teams Combined,Goals,0 Goals,Exactly,0.0,9.0,0.1111111111111111,15,2.466666666666667,4.123809523809524,2.8333333333333335,3.302298850574712,2.594202898550725,3.8380666809452415,CMP,0.074705400130641,13.385913176975839,-32.7651398824231,P(Exactly 0) = PMF(0),Match from hull-city home rows only,{'lambda': 2.594202898550725}
Bet365,TOTAL GOALS,Both Teams Combined,Goals,1 Goals,Over,1.0,1.36,0.7352941176470588,15,2.466666666666667,4.123809523809524,2.8333333333333335,3.302298850574712,2.594202898550725,3.8380666809452415,CMP,0.7314936343130585,1.3670658951654369,-0.5168657334240434,P(Over 1) = P(X ≥ 2) = 1-CDF(1),Match from hull-city home rows only,{'lambda': 2.594202898550725}
Bet365,TOTAL GOALS,Both Teams Combined,Goals,1 Goals,Exactly,1.0,4.33,0.23094688221709006,15,2.466666666666667,4.123809523809524,2.8333333333333335,3.302298850574712,2.594202898550725,3.8380666809452415,CMP,0.19380096555630058,5.159933012353815,-16.084181914121842,P(Exactly 1) = PMF(1),Match from hull-city home rows only,{'lambda': 2.594202898550725}
Bet365,TOTAL GOALS,Both Teams Combined,Goals,1 Goals,Under,1.0,9.0,0.1111111111111111,15,2.466666666666667,4.123809523809524,2.8333333333333335,3.302298850574712,2.594202898550725,3.8380666809452415,CMP,0.074705400130641,13.385913176975839,-32.7651398824231,P(Under 1) = P(X ≤ 0) = CDF(0),Match from hull-city home rows only,{'lambda': 2.594202898550725}
Bet365,TOTAL GOALS,Both Teams Combined,Goals,2 Goals,Over,2.0,2.1,0.47619047619047616,15,2.466666666666667,4.123809523809524,2.8333333333333335,3.302298850574712,2.594202898550725,3.8380666809452415,CMP,0.4801141210190165,2.082838134145177,0.8239654139934771,P(Over 2) = P(X ≥ 3) = 1-CDF(2),Match from hull-city home rows only,{'lambda': 2.594202898550725}
Bet365,TOTAL GOALS,Both Teams Combined,Goals,2 Goals,Exactly,2.0,3.5,0.2857142857142857,15,2.466666666666667,4.123809523809524,2.8333333333333335,3.302298850574712,2.594202898550725,3.8380666809452415,CMP,0.2513795132940422,3.9780489145521014,-12.017170347085237,P(Exactly 2) = PMF(2),Match from hull-city home rows only,{'lambda': 2.594202898550725}
Bet365,TOTAL GOALS,Both Teams Combined,Goals,2 Goals,Under,2.0,3.2,0.3125,15,2.466666666666667,4.123809523809524,2.8333333333333335,3.302298850574712,2.594202898550725,3.8380666809452415,CMP,0.2685063656869416,3.7243064887553747,-14.077962980178693,P(Under 2) = P(X ≤ 1) = CDF(1),Match from hull-city home rows only,{'lambda': 2.594202898550725}
Bet365,TOTAL GOALS,Both Teams Combined,Goals,3 Goals,Over,3.0,3.75,0.26666666666666666,15,2.466666666666667,4.123809523809524,2.8333333333333335,3.302298850574712,2.594202898550725,3.8380666809452415,CMP,0.26273763367779135,3.8060782766520282,-1.4733873708282497,P(Over 3) = P(X ≥ 4) = 1-CDF(3),Match from hull-city home rows only,{'lambda': 2.594202898550725}
Bet365,TOTAL GOALS,Both Teams Combined,Goals,3 Goals,Exactly,3.0,4.33,0.23094688221709006,15,2.466666666666667,4.123809523809524,2.8333333333333335,3.302298850574712,2.594202898550725,3.8380666809452415,CMP,0.21737648734122492,4.600313549230641,-5.875980981249606,P(Exactly 3) = PMF(3),Match from hull-city home rows only,{'lambda': 2.594202898550725}
